Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Origin,Food_Supply_Num,Flock_Size_Band,Flock_Size_Num,Flight_Distance_Category,Speed_Category,Altitude_Category,Temperature_Category,Wind_Speed_Category,Visibility_Category,Humidity_Category,Migration_Success_Num,Food_Flock_Interaction,Path,Migration_Behavior_Cluster,Cluster
Sandhill Crane,North America,Forest,Clear,Climate,16.6091,101.9101,32.2884,138.8479,2430.81,32.96,72.79,2477.92,2134.67,6.84,27.96,84.25,996.11,9.67,Unsuccessful,74.7,8,12,5,3,Yes,46,Medium,Excellent,No,,Successful,Yes,4.004257839438355,Western,2,Large,46,Medium,High,Medium,Mild,Moderate,Low,Very High,1,92,"16.61,101.91 -> 32.29,138.85",High-Altitude Fast,3
European Stork,Africa,Mountain,Rainy,Shelter,-29.442,72.9673,-33.7773,30.7002,1258.58,31.36,42.73,1921.12,921.94,22.21,27.48,62.32,1035.64,8.72,Successful,87.25,6,10,8,0,No,1,High,Excellent,Yes,Food Shortage,Unsuccessful,No,,Northern,3,Solo,1,Medium,Moderate,Medium,Warm,Moderate,Low,Moderate,0,3,"-29.44,72.97 -> -33.78,30.7",Balanced,0
Osprey,North America,Grassland,Clear,Seasonal,-22.6931,-104.5979,10.1174,-120.7391,1149.8,26.65,48.06,2031.53,1497.59,18.33,24.61,85.46,1015.09,11.97,Unsuccessful,82.06,5,8,6,0,Yes,12,Low,Fair,No,,Successful,Yes,3.463013294835947,Western,1,Medium,12,Medium,Moderate,Medium,Mild,Moderate,Good,Very High,1,12,"-22.69,-104.6 -> 10.12,-120.74",Balanced,0
Arctic Tern,South America,Wetland,Clear,Food,14.4655,-128.5188,24.2568,-172.8051,3454.51,86.14,39.26,200.0,50.0,8.32,7.58,33.89,1020.8,16.31,Successful,39.58,9,11,3,4,Yes,9,High,Fair,No,,Successful,Yes,3.8885816751318316,Southern,3,Medium,9,Long,Low,Low,Mild,Low,Good,Low,1,27,"14.47,-128.52 -> 24.26,-172.81",Balanced,0
Osprey,North America,Mountain,Windy,Food,32.4646,16.9485,40.8525,52.0095,3193.15,92.29,44.31,1300.97,591.99,14.47,6.11,67.17,980.85,8.74,Successful,85.06,3,6,4,3,No,1,Medium,Good,No,,Successful,Yes,5.625806545234382,Central,2,Solo,1,Long,Moderate,Medium,Mild,Low,Low,High,1,2,"32.46,16.95 -> 40.85,52.01",Balanced,0
Bar-headed Goose,South America,Mountain,Clear,Breeding,4.4715,51.8396,13.4486,71.9051,3425.75,65.24,52.36,2495.0,1786.06,22.53,24.41,87.92,1003.63,1.0,Successful,68.76,4,8,1,2,Yes,39,Medium,Poor,No,,Successful,Yes,4.076852746559645,Western,2,Large,39,Long,Moderate,Medium,Warm,Moderate,Poor,Very High,1,78,"4.47,51.84 -> 13.45,71.91",Flock-Oriented,1
Osprey,Asia,Forest,Windy,Climate,-9.6073,29.0367,13.9359,33.2688,1332.44,30.86,50.31,316.96,50.0,16.22,14.64,57.14,1034.58,9.85,Successful,100.0,2,4,5,5,No,1,High,Good,Yes,Predator,Unsuccessful,No,,Southern,3,Solo,1,Medium,Moderate,Low,Mild,Low,Low,Moderate,0,3,"-9.61,29.04 -> 13.94,33.27",High-Risk,2
Sandhill Crane,North America,Wetland,Cloudy,Food,51.2172,-76.7607,-4.5842,-49.5832,1328.05,19.94,44.73,2859.17,2205.64,20.69,58.47,80.81,1006.73,20.66,Successful,75.04,2,4,3,2,No,1,High,Fair,No,,Successful,Yes,4.138719689065058,Northern,3,Solo,1,Medium,Moderate,High,Warm,Very High,Excellent,Very High,1,3,"51.22,-76.76 -> -4.58,-49.58",High-Risk,2
Monarch Butterfly,Europe,Wetland,Stormy,Seasonal,49.1591,78.839,61.6848,100.7514,815.79,8.39,80.46,2237.2,1179.76,24.41,8.01,58.7,1031.39,4.16,Successful,60.19,2,4,8,3,No,1,High,Good,Yes,Storm,Unsuccessful,No,,Western,3,Solo,1,Short,High,Medium,Warm,Low,Poor,Moderate,0,3,"49.16,78.84 -> 61.68,100.75",High-Altitude Fast,3
Arctic Tern,Asia,Grassland,Clear,Food,-21.0599,-97.9896,-35.7211,-137.626,1729.7,26.9,69.92,1629.51,1201.69,31.94,19.38,66.41,990.56,18.11,Unsuccessful,100.0,2,5,6,1,Yes,24,High,Good,No,,Successful,Yes,1.944448723473604,Eastern,3,Large,24,Medium,Moderate,Medium,Warm,Moderate,Good,High,1,72,"-21.06,-97.99 -> -35.72,-137.63",Flock-Oriented,1
European Stork,Europe,Forest,Rainy,Food,34.5579,4.2606,13.2781,15.869,1185.15,12.33,65.92,1119.63,163.73,14.76,25.42,57.17,1021.52,1.0,Successful,91.09,8,12,3,2,Yes,70,Medium,Excellent,Yes,Lost Signal,Unsuccessful,No,,Western,2,Very Large,70,Medium,Moderate,Medium,Mild,Moderate,Poor,Moderate,0,140,"34.56,4.26 -> 13.28,15.87",Flock-Oriented,1
Arctic Tern,North America,Coastal,Windy,Food,22.9448,-105.344,20.4428,-127.5159,1502.45,19.22,76.15,2295.96,1730.38,16.92,15.57,33.44,998.54,6.27,Unsuccessful,45.72,4,5,4,3,Yes,20,Low,Good,Yes,Lost Signal,Unsuccessful,No,,Northern,1,Medium,20,Medium,High,Medium,Mild,Moderate,Low,Low,0,20,"22.94,-105.34 -> 20.44,-127.52",High-Altitude Fast,3
European Stork,Asia,Coastal,Rainy,Food,-46.2007,-50.9223,-47.7193,-77.47,421.59,12.06,47.87,1980.34,1043.04,19.53,12.12,62.85,1045.13,15.82,Successful,77.2,5,9,2,1,Yes,19,Medium,Good,No,,Successful,Yes,4.78278302536872,Eastern,2,Medium,19,Short,Moderate,Medium,Mild,Low,Good,Moderate,1,38,"-46.2,-50.92 -> -47.72,-77.47",Balanced,0
Arctic Tern,North America,Wetland,Cloudy,Climate,-47.1157,-0.3962,-70.0,17.445,1195.77,13.73,59.55,1565.57,673.64,35.15,8.84,69.99,1044.25,8.34,Successful,73.78,10,11,4,5,Yes,42,High,Good,Yes,Food Shortage,Unsuccessful,No,,Western,3,Large,42,Medium,Moderate,Medium,Hot,Low,Low,High,0,126,"-47.12,-0.4 -> -70.0,17.45",Flock-Oriented,1
Osprey,North America,Mountain,Windy,Shelter,-54.9639,24.6322,-70.0,71.2632,3101.68,54.2,55.16,2146.2,1226.14,27.64,2.39,46.66,1031.97,12.48,Successful,100.0,7,9,7,7,Yes,10,Low,Good,Yes,Food Shortage,Unsuccessful,No,,Central,1,Medium,10,Long,Moderate,Medium,Warm,Low,Good,Moderate,0,10,"-54.96,24.63 -> -70.0,71.26",High-Risk,2
Bar-headed Goose,Europe,Wetland,Stormy,Shelter,-36.7374,-133.2082,-62.1663,-135.8127,1634.23,80.75,20.78,1065.29,195.96,10.15,22.21,56.62,1039.86,11.84,Successful,66.01,1,3,2,6,Yes,15,High,Good,Yes,Injury,Unsuccessful,No,,Southern,3,Medium,15,Medium,Low,Medium,Mild,Moderate,Good,Moderate,0,45,"-36.74,-133.21 -> -62.17,-135.81",High-Risk,2
Barn Swallow,South America,Wetland,Clear,Shelter,-40.1875,-48.7093,-55.3188,9.1955,330.52,10.73,68.31,1388.65,759.9,4.93,33.95,52.2,1024.09,20.65,Successful,67.86,7,8,2,3,Yes,18,Low,Excellent,Yes,Storm,Unsuccessful,No,,Southern,1,Medium,18,Short,Moderate,Medium,Cold,High,Excellent,Moderate,0,18,"-40.19,-48.71 -> -55.32,9.2",Balanced,0
Arctic Tern,North America,Coastal,Rainy,Seasonal,-42.2273,12.8189,-33.1402,1.4217,2182.44,50.71,48.63,1552.78,602.25,29.57,22.36,72.91,1050.0,8.01,Unsuccessful,75.3,8,11,1,1,Yes,11,Medium,Fair,Yes,Lost Signal,Unsuccessful,No,,Western,2,Medium,11,Medium,Moderate,Medium,Warm,Moderate,Low,High,0,22,"-42.23,12.82 -> -33.14,1.42",Balanced,0
Sandhill Crane,Asia,Coastal,Rainy,Climate,-4.5664,101.2033,-11.4095,42.032,2990.48,54.47,56.98,1384.21,946.45,19.85,17.65,75.13,1012.75,19.66,Successful,89.74,8,12,4,3,Yes,11,Low,Good,Yes,Predator,Unsuccessful,No,,Southern,1,Medium,11,Long,Moderate,Medium,Mild,Moderate,Good,High,0,11,"-4.57,101.2 -> -11.41,42.03",Balanced,0
Ruby-throated Hummingbird,Europe,Mountain,Stormy,Breeding,35.2398,-82.1231,40.4146,-129.2518,648.84,16.01,43.23,1836.34,875.92,31.0,44.01,54.7,1019.61,9.05,Unsuccessful,58.28,11,12,4,3,Yes,14,High,Excellent,Yes,Lost Signal,Unsuccessful,No,,Central,3,Medium,14,Short,Moderate,Medium,Warm,High,Low,Moderate,0,42,"35.24,-82.12 -> 40.41,-129.25",High-Risk,2
Ruby-throated Hummingbird,Africa,Grassland,Cloudy,Climate,2.233,98.719,-12.0188,43.5431,1702.58,41.91,53.97,1670.35,1389.59,31.74,23.98,46.81,1016.65,12.32,Unsuccessful,81.52,8,11,1,3,No,1,Medium,Good,Yes,Storm,Unsuccessful,No,,Western,2,Solo,1,Medium,Moderate,Medium,Warm,Moderate,Good,Moderate,0,2,"2.23,98.72 -> -12.02,43.54",Balanced,0
Arctic Tern,Europe,Grassland,Cloudy,Shelter,13.9703,157.9884,38.5251,172.3842,1270.94,25.1,100.19,2177.26,1102.26,14.02,50.04,79.77,1002.85,10.39,Successful,74.53,10,2,4,2,Yes,17,Medium,Excellent,No,,Successful,Yes,1.3047790442193423,Central,2,Medium,17,Medium,High,Medium,Mild,Very High,Good,High,1,34,"13.97,157.99 -> 38.53,172.38",High-Risk,2
Bar-headed Goose,Europe,Coastal,Windy,Food,-12.9953,50.0343,-21.2088,117.6084,1958.79,143.06,15.0,2022.9,1535.66,17.54,10.94,57.98,986.49,13.83,Successful,63.35,7,10,1,0,Yes,24,Low,Good,Yes,Injury,Unsuccessful,No,,Northern,1,Large,24,Medium,Low,Medium,Mild,Low,Good,Moderate,0,24,"-13.0,50.03 -> -21.21,117.61",Balanced,0
Sandhill Crane,Africa,Coastal,Rainy,Shelter,27.2098,81.0613,43.3276,122.0755,2202.9,34.05,71.56,2491.27,1658.28,24.9,22.54,84.52,1007.81,6.79,Unsuccessful,72.26,8,10,4,4,Yes,12,Medium,Good,Yes,Predator,Unsuccessful,No,,Northern,2,Medium,12,Medium,High,Medium,Warm,Moderate,Low,Very High,0,24,"27.21,81.06 -> 43.33,122.08",High-Altitude Fast,3
Monarch Butterfly,North America,Coastal,Cloudy,Shelter,-13.5629,102.6256,-12.4272,134.6377,1367.63,15.46,91.69,728.81,50.0,10.89,9.18,43.27,1012.01,10.48,Successful,100.0,2,6,12,2,No,1,Medium,Good,No,,Successful,Yes,3.178143439027582,Central,2,Solo,1,Medium,High,Low,Mild,Low,Good,Moderate,1,2,"-13.56,102.63 -> -12.43,134.64",Balanced,0
Barn Swallow,South America,Forest,Windy,Food,-16.2406,124.5472,-30.2318,-177.9703,1558.32,77.53,20.77,2488.15,1963.9,19.15,27.66,66.73,1026.45,10.7,Successful,68.8,12,2,1,3,No,1,Low,Good,Yes,Food Shortage,Unsuccessful,No,,Southern,1,Solo,1,Medium,Low,Medium,Mild,Moderate,Good,High,0,1,"-16.24,124.55 -> -30.23,-177.97",Balanced,0
Barn Swallow,Asia,Mountain,Clear,Breeding,63.1135,-136.7816,75.0,-112.7664,4041.37,89.29,43.06,1434.22,410.41,16.45,28.03,44.41,1014.46,19.33,Unsuccessful,77.52,1,4,5,2,No,1,Low,Excellent,No,,Successful,Yes,5.676052381662029,Southern,1,Solo,1,Long,Moderate,Medium,Mild,Moderate,Good,Moderate,1,1,"63.11,-136.78 -> 75.0,-112.77",Balanced,0
Bar-headed Goose,South America,Forest,Cloudy,Breeding,-0.1046,-62.7104,22.145,-22.5388,9000.0,136.18,65.24,1275.53,324.89,14.04,43.77,47.33,1050.0,4.33,Successful,74.98,12,4,2,2,No,1,High,Fair,Yes,Predator,Unsuccessful,No,,Southern,3,Solo,1,Very Long,Moderate,Medium,Mild,High,Poor,Moderate,0,3,"-0.1,-62.71 -> 22.14,-22.54",High-Risk,2
Sandhill Crane,Africa,Forest,Stormy,Shelter,0.8534,2.1505,-2.9975,5.9489,2332.53,49.18,47.63,1265.66,801.1,24.3,14.07,75.98,985.51,4.57,Successful,61.63,7,10,4,1,No,1,Medium,Excellent,Yes,Storm,Unsuccessful,No,,Eastern,2,Solo,1,Medium,Moderate,Medium,Warm,Low,Poor,High,0,2,"0.85,2.15 -> -3.0,5.95",Balanced,0
Barn Swallow,South America,Forest,Stormy,Climate,-45.919,-56.1124,-29.3378,-86.8708,1771.7,44.45,43.87,1181.06,976.76,17.45,29.03,37.73,1015.08,7.87,Successful,84.72,5,7,3,0,No,1,Low,Excellent,Yes,Storm,Unsuccessful,No,,Central,1,Solo,1,Medium,Moderate,Medium,Mild,Moderate,Low,Moderate,0,1,"-45.92,-56.11 -> -29.34,-86.87",Balanced,0
Sandhill Crane,Europe,Forest,Windy,Seasonal,60.1646,-94.934,59.8833,-138.2715,1109.52,23.04,67.49,1339.4,392.13,10.94,8.99,68.06,1007.96,11.15,Successful,93.36,6,9,1,7,No,1,Low,Excellent,Yes,Storm,Unsuccessful,No,,Western,1,Solo,1,Medium,Moderate,Medium,Mild,Low,Good,High,0,1,"60.16,-94.93 -> 59.88,-138.27",High-Risk,2
Osprey,Africa,Forest,Rainy,Seasonal,-8.9347,140.9512,-13.838,127.3297,1462.7,108.12,15.0,1996.65,1158.49,26.56,13.94,76.23,1034.68,11.36,Unsuccessful,82.0,1,3,5,3,Yes,20,Medium,Fair,Yes,Lost Signal,Unsuccessful,No,,Northern,2,Medium,20,Medium,Low,Medium,Warm,Low,Good,High,0,40,"-8.93,140.95 -> -13.84,127.33",Balanced,0
Sandhill Crane,South America,Grassland,Cloudy,Food,30.0257,91.7224,17.3941,30.9597,1581.89,34.99,68.67,2734.64,2490.74,28.55,18.37,61.93,1041.26,7.18,Unsuccessful,70.32,5,7,1,2,No,1,Medium,Good,No,,Successful,Yes,3.8825641281369565,Central,2,Solo,1,Medium,Moderate,High,Warm,Moderate,Low,Moderate,1,2,"30.03,91.72 -> 17.39,30.96",High-Altitude Fast,3
Ruby-throated Hummingbird,Africa,Coastal,Cloudy,Seasonal,28.8891,-94.0866,28.6891,-106.2386,1655.92,23.64,69.45,2025.91,1781.56,26.87,23.84,58.76,1004.19,7.82,Successful,99.75,1,4,4,2,Yes,38,Low,Excellent,No,,Successful,Yes,6.698887389090866,Eastern,1,Large,38,Medium,Moderate,Medium,Warm,Moderate,Low,Moderate,1,38,"28.89,-94.09 -> 28.69,-106.24",Balanced,0
Bar-headed Goose,North America,Grassland,Clear,Seasonal,55.7305,-88.0406,61.364,-99.335,461.44,9.15,75.0,1240.42,1024.6,13.11,20.07,73.51,1030.32,12.36,Unsuccessful,53.36,6,8,1,0,No,1,Low,Fair,Yes,Lost Signal,Unsuccessful,No,,Western,1,Solo,1,Short,High,Medium,Mild,Moderate,Good,High,0,1,"55.73,-88.04 -> 61.36,-99.33",Balanced,0
Ruby-throated Hummingbird,South America,Mountain,Windy,Shelter,54.85,45.0321,58.7083,76.0494,1097.85,26.71,64.29,890.7,50.0,21.9,34.01,25.4,1016.15,9.89,Successful,79.31,2,6,3,4,Yes,10,Low,Poor,Yes,Food Shortage,Unsuccessful,No,,Southern,1,Medium,10,Medium,Moderate,Low,Warm,High,Low,Low,0,10,"54.85,45.03 -> 58.71,76.05",Balanced,0
Barn Swallow,Europe,Grassland,Clear,Shelter,-35.7798,-11.4196,-25.3252,-16.5804,1335.53,21.93,70.71,1512.42,1293.55,19.46,8.44,86.51,1018.69,14.46,Successful,58.72,2,4,5,5,Yes,25,High,Good,No,,Successful,Yes,4.800800886222564,Northern,3,Large,25,Medium,High,Medium,Mild,Low,Good,Very High,1,75,"-35.78,-11.42 -> -25.33,-16.58",Flock-Oriented,1
Bar-headed Goose,Europe,Grassland,Rainy,Climate,-41.3911,-65.3689,-41.8102,-20.7445,1258.19,18.21,55.19,1676.7,879.41,19.06,10.01,68.22,1016.6,11.17,Successful,68.88,9,10,1,1,Yes,29,High,Good,No,,Successful,Yes,3.619378090420702,Eastern,3,Large,29,Medium,Moderate,Medium,Mild,Low,Good,High,1,87,"-41.39,-65.37 -> -41.81,-20.74",Flock-Oriented,1
Barn Swallow,Africa,Wetland,Cloudy,Shelter,56.146,113.8801,32.6972,98.0119,1872.45,88.39,23.3,1275.25,989.63,22.97,40.69,63.66,1019.41,7.93,Successful,63.42,3,6,3,3,No,1,High,Excellent,Yes,Food Shortage,Unsuccessful,No,,Southern,3,Solo,1,Medium,Low,Medium,Warm,High,Low,Moderate,0,3,"56.15,113.88 -> 32.7,98.01",High-Risk,2
Barn Swallow,Africa,Mountain,Clear,Food,-20.7629,147.4724,-13.5663,112.3201,4099.18,87.13,46.41,1649.19,774.6,23.92,5.5,54.05,997.17,1.0,Successful,86.43,5,9,3,8,Yes,86,Medium,Fair,No,,Successful,Yes,1.5558535103929256,Northern,2,Very Large,86,Long,Moderate,Medium,Warm,Low,Poor,Moderate,1,172,"-20.76,147.47 -> -13.57,112.32",Flock-Oriented,1
Arctic Tern,Asia,Wetland,Clear,Seasonal,49.5615,-46.7471,36.3559,16.4618,2114.35,35.06,51.06,1592.85,1185.15,32.3,19.78,65.08,1019.61,15.47,Successful,66.15,8,9,2,3,No,1,Medium,Good,Yes,Storm,Unsuccessful,No,,Western,2,Solo,1,Medium,Moderate,Medium,Warm,Moderate,Good,High,0,2,"49.56,-46.75 -> 36.36,16.46",Balanced,0
Barn Swallow,Asia,Wetland,Rainy,Climate,-4.0703,49.5833,-34.2257,90.5146,1979.28,36.4,50.48,2692.41,2112.4,22.77,67.07,90.47,1008.73,10.48,Unsuccessful,79.04,7,10,6,6,Yes,7,Medium,Fair,Yes,Storm,Unsuccessful,No,,Central,2,Medium,7,Medium,Moderate,High,Warm,Very High,Good,Very High,0,14,"-4.07,49.58 -> -34.23,90.51",High-Risk,2
Arctic Tern,South America,Mountain,Clear,Food,-11.4279,-55.9763,-16.0903,-50.9264,2334.73,60.61,41.95,739.72,50.0,21.69,37.0,77.29,1019.25,17.89,Successful,66.87,7,11,7,3,Yes,60,High,Excellent,No,,Successful,Yes,3.0713442661772845,Central,3,Very Large,60,Medium,Moderate,Low,Warm,High,Good,High,1,180,"-11.43,-55.98 -> -16.09,-50.93",Flock-Oriented,1
European Stork,Africa,Grassland,Windy,Climate,-32.7539,154.6029,-42.8225,134.0446,3322.28,75.49,46.08,1819.43,1595.1,22.0,18.42,38.68,1024.73,6.63,Successful,69.36,6,8,4,3,No,1,High,Excellent,Yes,Food Shortage,Unsuccessful,No,,Southern,3,Solo,1,Long,Moderate,Medium,Warm,Moderate,Low,Moderate,0,3,"-32.75,154.6 -> -42.82,134.04",Balanced,0
Arctic Tern,Asia,Wetland,Windy,Seasonal,66.5848,-32.3759,50.7485,47.866,7466.44,110.72,66.88,1655.49,1346.96,33.36,31.63,42.65,1032.69,6.16,Unsuccessful,92.48,8,10,3,5,Yes,13,High,Good,Yes,Food Shortage,Unsuccessful,No,,Western,3,Medium,13,Very Long,Moderate,Medium,Warm,High,Low,Moderate,0,39,"66.58,-32.38 -> 50.75,47.87",High-Risk,2
Arctic Tern,North America,Grassland,Clear,Climate,-47.001,-99.4639,-70.0,-97.9627,1805.94,47.09,59.54,2053.8,1637.01,6.04,24.58,63.31,1038.02,14.02,Successful,69.15,8,11,4,1,Yes,8,High,Excellent,No,,Successful,Yes,2.3234141101640176,Eastern,3,Medium,8,Medium,Moderate,Medium,Mild,Moderate,Good,Moderate,1,24,"-47.0,-99.46 -> -70.0,-97.96",Balanced,0
Sandhill Crane,Africa,Grassland,Windy,Seasonal,10.4445,-34.4226,14.7519,-3.352,1780.3,40.37,39.26,2072.43,1813.32,28.02,27.89,41.29,1011.93,12.25,Successful,90.17,2,5,3,3,No,1,High,Good,Yes,Lost Signal,Unsuccessful,No,,Eastern,3,Solo,1,Medium,Low,Medium,Warm,Moderate,Good,Moderate,0,3,"10.44,-34.42 -> 14.75,-3.35",Balanced,0
Arctic Tern,South America,Wetland,Cloudy,Seasonal,34.8528,-61.7516,22.2146,-8.671,1875.33,26.66,66.36,2632.61,1779.45,23.33,30.15,42.59,1000.67,9.09,Successful,76.31,12,1,2,5,Yes,11,Low,Excellent,Yes,Predator,Unsuccessful,No,,Western,1,Medium,11,Medium,Moderate,High,Warm,High,Low,Moderate,0,11,"34.85,-61.75 -> 22.21,-8.67",High-Altitude Fast,3
Arctic Tern,Europe,Coastal,Clear,Climate,-2.7533,3.1344,-20.4235,19.2043,1904.09,33.06,58.14,1744.0,1089.92,18.75,19.96,63.49,1009.27,11.94,Successful,84.87,10,11,6,1,Yes,71,High,Good,No,,Successful,Yes,6.852751687889839,Southern,3,Very Large,71,Medium,Moderate,Medium,Mild,Moderate,Good,Moderate,1,213,"-2.75,3.13 -> -20.42,19.2",Flock-Oriented,1
Arctic Tern,Europe,Coastal,Cloudy,Breeding,-18.0529,-138.2735,-11.7691,-178.3663,1045.77,31.43,27.84,1502.44,707.05,21.49,7.67,62.4,1038.55,11.0,Successful,70.41,6,8,4,0,Yes,14,Low,Excellent,No,,Successful,Yes,4.618371626514409,Southern,1,Medium,14,Medium,Low,Medium,Warm,Low,Good,Moderate,1,14,"-18.05,-138.27 -> -11.77,-178.37",Balanced,0
Barn Swallow,Africa,Wetland,Windy,Breeding,-35.3389,40.142,-39.9235,34.1798,1627.62,28.18,57.28,2014.24,1278.32,31.15,11.87,63.44,1014.16,13.37,Successful,51.95,5,7,4,3,Yes,60,Medium,Excellent,No,,Successful,Yes,5.831010841003691,Eastern,2,Very Large,60,Medium,Moderate,Medium,Warm,Low,Good,Moderate,1,120,"-35.34,40.14 -> -39.92,34.18",Flock-Oriented,1
Monarch Butterfly,South America,Coastal,Rainy,Seasonal,-30.6175,93.1142,-25.0546,75.7349,1039.71,8.52,64.91,494.71,75.51,23.04,10.01,67.55,998.05,16.26,Successful,44.2,9,12,6,2,No,1,High,Fair,No,,Successful,Yes,5.860060424748024,Western,3,Solo,1,Medium,Moderate,Low,Warm,Low,Good,High,1,3,"-30.62,93.11 -> -25.05,75.73",Balanced,0
Ruby-throated Hummingbird,South America,Forest,Clear,Shelter,63.1124,-80.5595,59.3339,-80.9941,2687.53,74.11,39.34,1801.8,773.55,23.48,14.32,47.12,1015.35,8.84,Successful,61.61,8,10,4,0,Yes,8,Medium,Good,No,,Successful,Yes,6.250717766894541,Eastern,2,Medium,8,Long,Low,Medium,Warm,Low,Low,Moderate,1,16,"63.11,-80.56 -> 59.33,-80.99",Balanced,0
Osprey,North America,Coastal,Stormy,Climate,-3.3983,-84.7875,1.9971,-72.9326,8854.0,157.65,57.37,1978.06,1465.81,18.18,19.85,47.27,1003.8,11.64,Successful,52.4,10,11,4,1,Yes,55,Low,Good,Yes,Injury,Unsuccessful,No,,Southern,1,Very Large,55,Very Long,Moderate,Medium,Mild,Moderate,Good,Moderate,0,55,"-3.4,-84.79 -> 2.0,-72.93",Balanced,0
Monarch Butterfly,South America,Forest,Stormy,Climate,-50.9068,-56.369,-70.0,-69.6578,1849.26,53.72,36.61,1841.46,1219.29,26.26,38.57,48.73,1004.26,21.83,Successful,81.94,6,10,4,1,No,1,Medium,Excellent,Yes,Predator,Unsuccessful,No,,Northern,2,Solo,1,Medium,Low,Medium,Warm,High,Excellent,Moderate,0,2,"-50.91,-56.37 -> -70.0,-69.66",Balanced,0
Arctic Tern,North America,Forest,Stormy,Shelter,-6.1085,4.4985,18.9565,-7.8805,2493.88,68.27,42.58,1483.74,1013.58,26.56,7.6,93.35,1000.75,16.32,Successful,60.74,6,8,5,0,No,1,High,Excellent,Yes,Food Shortage,Unsuccessful,No,,Eastern,3,Solo,1,Medium,Moderate,Medium,Warm,Low,Good,Very High,0,3,"-6.11,4.5 -> 18.96,-7.88",Balanced,0
Ruby-throated Hummingbird,Europe,Grassland,Rainy,Breeding,21.353,-134.9748,-10.7625,-129.2863,3057.44,52.15,60.69,1980.84,1642.35,0.42,23.8,45.33,1022.48,14.06,Unsuccessful,80.17,6,7,6,2,Yes,33,Medium,Excellent,Yes,Injury,Unsuccessful,No,,Northern,2,Large,33,Long,Moderate,Medium,Cold,Moderate,Good,Moderate,0,66,"21.35,-134.97 -> -10.76,-129.29",Flock-Oriented,1
Arctic Tern,Africa,Grassland,Windy,Shelter,22.2757,17.8699,36.5664,-34.6321,873.28,3.02,80.56,1922.27,1261.72,21.37,16.65,45.13,1011.85,12.21,Unsuccessful,85.26,4,7,7,2,Yes,8,Medium,Fair,No,,Successful,Yes,5.270000772533346,Eastern,2,Medium,8,Short,High,Medium,Warm,Moderate,Good,Moderate,1,16,"22.28,17.87 -> 36.57,-34.63",Balanced,0
Osprey,Europe,Forest,Rainy,Breeding,-43.2264,54.5817,-46.402,43.2057,2393.4,37.1,63.84,2171.87,1897.94,40.0,11.8,15.0,1031.16,20.79,Unsuccessful,83.4,10,12,3,3,Yes,20,Medium,Good,Yes,Predator,Unsuccessful,No,,Western,2,Medium,20,Medium,Moderate,Medium,Hot,Low,Excellent,Low,0,40,"-43.23,54.58 -> -46.4,43.21",Balanced,0
European Stork,Africa,Mountain,Clear,Breeding,-22.3532,162.8821,15.8387,172.9233,1959.44,54.92,40.6,2103.9,1226.14,33.52,19.8,59.59,989.13,8.75,Successful,84.58,10,1,3,2,Yes,23,Medium,Excellent,Yes,Storm,Unsuccessful,No,,Eastern,2,Large,23,Medium,Moderate,Medium,Warm,Moderate,Low,Moderate,0,46,"-22.35,162.88 -> 15.84,172.92",Flock-Oriented,1
Sandhill Crane,Africa,Coastal,Windy,Breeding,36.8784,158.1468,36.8387,164.6768,678.23,7.58,64.97,1943.49,1395.13,28.6,21.18,48.73,1013.18,12.38,Successful,65.29,2,6,3,5,Yes,6,Low,Excellent,Yes,Predator,Unsuccessful,No,,Eastern,1,Medium,6,Short,Moderate,Medium,Warm,Moderate,Good,Moderate,0,6,"36.88,158.15 -> 36.84,164.68",High-Risk,2
Bar-headed Goose,North America,Grassland,Cloudy,Food,68.2873,-61.937,75.0,-88.2078,1405.2,29.64,52.4,1851.87,878.52,18.95,26.06,76.54,1002.83,14.18,Successful,65.07,2,3,7,8,Yes,36,High,Poor,No,,Successful,Yes,1.213102477221843,Southern,3,Large,36,Medium,Moderate,Medium,Mild,Moderate,Good,High,1,108,"68.29,-61.94 -> 75.0,-88.21",Flock-Oriented,1
Osprey,Europe,Forest,Stormy,Climate,9.0597,56.6195,-29.1052,39.0808,364.31,2.28,73.77,1509.11,1295.14,29.4,15.42,56.62,1046.11,5.14,Successful,90.11,1,4,1,2,No,1,Medium,Excellent,Yes,Food Shortage,Unsuccessful,No,,Southern,2,Solo,1,Short,High,Medium,Warm,Moderate,Low,Moderate,0,2,"9.06,56.62 -> -29.11,39.08",Balanced,0
